source,source_id,company,title,url,initial_decision,final_decision,verification_status,confidence,florida_eligible,remote_status,employment_type,salary_min,salary_max,travel_percentage,clearance_required,sponsorship_status,evidence,unresolved,verified_at
lever,f9727a1b-731c-43af-8e98-b4ed68b647bd,Agile Defense,Field Deployment Analyst (CBP),https://jobs.lever.co/agile-defense/f9727a1b-731c-43af-8e98-b4ed68b647bd,reject,reject,partial,0.71,,remote,regular,70000,80000,90,,,Posting states up to 90% travel.,florida_eligibility | employment_type,2026-08-31T12:36:58.872394+00:00
lever,98189ef7-8c90-4ccd-b92e-7052b724a773,Agile Defense,Full Stack Engineer / Software Developer (CBP),https://jobs.lever.co/agile-defense/98189ef7-8c90-4ccd-b92e-7052b724a773,verify,verify,unresolved,0.57,,hybrid,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.873645+00:00
lever,37c0e7a1-cc55-4f74-8937-56805fafcdcb,Agile Defense,Graphic Artist,https://jobs.lever.co/agile-defense/37c0e7a1-cc55-4f74-8937-56805fafcdcb,verify,verify,unresolved,0.57,,remote,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.874319+00:00
lever,0021fdc9-57b9-4aee-935f-a57fffeb8e03,Agile Defense,Graphic Designer,https://jobs.lever.co/agile-defense/0021fdc9-57b9-4aee-935f-a57fffeb8e03,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.875053+00:00
lever,abf074b5-ed5f-46d5-8457-89166a18953b,Agile Defense,Help Desk Analyst,https://jobs.lever.co/agile-defense/abf074b5-ed5f-46d5-8457-89166a18953b,verify,verify,partial,0.61,,onsite,contract,,,10,,,Posting indicates non-full-time employment. | Posting states up to 10% travel.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.876058+00:00
lever,d59fe069-2a9c-4c2b-b292-9d710f73f70a,Agile Defense,Helpdesk Support Specialist I,https://jobs.lever.co/agile-defense/d59fe069-2a9c-4c2b-b292-9d710f73f70a,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.877174+00:00
lever,aaa8d8ef-760e-4ee7-9d09-ad4bc49c5eb2,Agile Defense,Incident Response Team Lead (CBP),https://jobs.lever.co/agile-defense/aaa8d8ef-760e-4ee7-9d09-ad4bc49c5eb2,verify,verify,unresolved,0.69,,hybrid,regular,155000,180000,,,,,florida_eligibility | employment_type,2026-08-31T12:36:58.878290+00:00
lever,ff8fbc1e-bb28-4b02-af63-f6a8083cdb0c,Agile Defense,"Information System Security Officers (ISSO), Senior Security Engineers & Security Engineering Leads (CBP)",https://jobs.lever.co/agile-defense/ff8fbc1e-bb28-4b02-af63-f6a8083cdb0c,verify,verify,unresolved,0.69,,hybrid,regular,140000,190000,,,,,florida_eligibility | employment_type,2026-08-31T12:36:58.879909+00:00
lever,41f2c485-1086-4172-931a-d8fda7fe53de,Agile Defense,Information Systems Security Engineer - SME,https://jobs.lever.co/agile-defense/41f2c485-1086-4172-931a-d8fda7fe53de,verify,verify,partial,0.59,,onsite,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.881079+00:00
lever,f8ddce84-bed3-491a-a521-482a0ff90bd4,Agile Defense,Insider Threat Monitoring Lead (CBP),https://jobs.lever.co/agile-defense/f8ddce84-bed3-491a-a521-482a0ff90bd4,verify,verify,unresolved,0.69,,hybrid,regular,160000,185000,,,,,florida_eligibility | employment_type,2026-08-31T12:36:58.882520+00:00
lever,dc3a96be-55df-47ca-bc70-1401e31ead3c,Agile Defense,Intelligence Analyst (National Security Mission Support),https://jobs.lever.co/agile-defense/dc3a96be-55df-47ca-bc70-1401e31ead3c,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.883554+00:00
lever,cf32d103-ff06-4b77-9f71-0fa881852afb,Agile Defense,Intelligence Analyst SME (National Security Mission Support),https://jobs.lever.co/agile-defense/cf32d103-ff06-4b77-9f71-0fa881852afb,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.884676+00:00
lever,4b549d4a-2c80-40c3-b4d8-2baa2a359c8a,Agile Defense,ISSO/Information Assurance Security Specialist,https://jobs.lever.co/agile-defense/4b549d4a-2c80-40c3-b4d8-2baa2a359c8a,verify,verify,partial,0.63,,onsite,contract,,,10,True,,Posting indicates non-full-time employment. | Posting states up to 10% travel. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.885852+00:00
lever,82554071-b04b-4a2b-9f29-e455b8f6ec52,Agile Defense,IT Customer Service Technician,https://jobs.lever.co/agile-defense/82554071-b04b-4a2b-9f29-e455b8f6ec52,verify,verify,partial,0.63,,remote,contract,,,10,True,,Posting indicates non-full-time employment. | Posting states up to 10% travel. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.886725+00:00
